団体コード,都道府県名,市区町村名,ミリ波,sub6
250007,滋賀県,滋賀県,74,84
252018,滋賀県,大津市,18,21
252026,滋賀県,彦根市,6,6
252034,滋賀県,長浜市,7,7
252042,滋賀県,近江八幡市,2,2
252069,滋賀県,草津市,8,11
252077,滋賀県,守山市,4,4
252085,滋賀県,栗東市,8,11
252093,滋賀県,甲賀市,3,4
252107,滋賀県,野洲市,0,0
252115,滋賀県,湖南市,5,5
252123,滋賀県,高島市,2,2
252131,滋賀県,東近江市,3,3
252140,滋賀県,米原市,4,4
253839,滋賀県,日野町,3,3
253847,滋賀県,竜王町,0,0
254258,滋賀県,愛荘町,0,0
254410,滋賀県,豊郷町,0,0
254428,滋賀県,甲良町,0,0
254436,滋賀県,多賀町,1,1
260002,京都府,京都府,175,200
261017,京都府,京都市北区,7,7
261025,京都府,京都市上京区,7,7
261033,京都府,京都市左京区,5,6
261041,京都府,京都市中京区,11,11
261050,京都府,京都市東山区,3,3
261068,京都府,京都市下京区,18,18
261076,京都府,京都市南区,12,12
261084,京都府,京都市右京区,10,12
261092,京都府,京都市伏見区,15,17
261106,京都府,京都市山科区,7,8
261114,京都府,京都市西京区,11,11
262013,京都府,福知山市,9,9
262021,京都府,舞鶴市,3,3
262030,京都府,綾部市,3,3
262048,京都府,宇治市,7,11
262056,京都府,宮津市,2,2
262064,京都府,亀岡市,3,3
262072,京都府,城陽市,4,4
262081,京都府,向日市,4,4
262099,京都府,長岡京市,8,11
262102,京都府,八幡市,2,5
262111,京都府,京田辺市,4,4
262129,京都府,京丹後市,5,5
262137,京都府,南丹市,3,3
262145,京都府,木津川市,4,4
263036,京都府,大山崎町,2,3
263222,京都府,久御山町,0,2
263435,京都府,井手町,0,2
263443,京都府,宇治田原町,0,2
263648,京都府,笠置町,0,0
263656,京都府,和束町,0,0
263664,京都府,精華町,3,5
263672,京都府,南山城村,0,0
264075,京都府,京丹波町,3,3
264636,京都府,伊根町,0,0
264652,京都府,与謝野町,0,0
270008,大阪府,大阪府,816,909
271021,大阪府,大阪市都島区,10,10
271039,大阪府,大阪市福島区,21,21
271047,大阪府,大阪市此花区,19,26
271063,大阪府,大阪市西区,37,36
271071,大阪府,大阪市港区,7,7
271080,大阪府,大阪市大正区,4,4
271098,大阪府,大阪市天王寺区,18,18
271110,大阪府,大阪市浪速区,32,32
271136,大阪府,大阪市西淀川区,7,7
271144,大阪府,大阪市東淀川区,14,14
271152,大阪府,大阪市東成区,8,8
271161,大阪府,大阪市生野区,5,4
271179,大阪府,大阪市旭区,12,6
271187,大阪府,大阪市城東区,19,16
271195,大阪府,大阪市阿倍野区,12,12
271209,大阪府,大阪市住吉区,3,2
271217,大阪府,大阪市東住吉区,11,11
271225,大阪府,大阪市西成区,9,9
271233,大阪府,大阪市淀川区,29,26
271241,大阪府,大阪市鶴見区,8,8
271250,大阪府,大阪市住之江区,20,20
271268,大阪府,大阪市平野区,10,10
271276,大阪府,大阪市北区,76,77
271284,大阪府,大阪市中央区,97,97
271411,大阪府,堺市堺区,19,19
271420,大阪府,堺市中区,6,8
271438,大阪府,堺市東区,2,3
271446,大阪府,堺市西区,9,12
271454,大阪府,堺市南区,3,4
271462,大阪府,堺市北区,5,7
271471,大阪府,堺市美原区,0,0
272027,大阪府,岸和田市,10,13
272035,大阪府,豊中市,17,31
272043,大阪府,池田市,6,7
272051,大阪府,吹田市,15,22
272060,大阪府,泉大津市,7,7
272078,大阪府,高槻市,11,19
272086,大阪府,貝塚市,3,6
272094,大阪府,守口市,11,17
272108,大阪府,枚方市,17,21
272116,大阪府,茨木市,12,15
272124,大阪府,八尾市,12,16
272132,大阪府,泉佐野市,4,7
272141,大阪府,富田林市,4,4
272159,大阪府,寝屋川市,13,15
272167,大阪府,河内長野市,6,8
272175,大阪府,松原市,3,7
272183,大阪府,大東市,5,7
272191,大阪府,和泉市,8,12
272205,大阪府,箕面市,5,10
272213,大阪府,柏原市,4,5
272221,大阪府,羽曳野市,5,9
272230,大阪府,門真市,5,8
272248,大阪府,摂津市,3,6
272256,大阪府,高石市,4,6
272264,大阪府,藤井寺市,4,4
272272,大阪府,東大阪市,46,41
272281,大阪府,泉南市,4,6
272299,大阪府,四條畷市,3,3
272302,大阪府,交野市,7,8
272311,大阪府,大阪狭山市,4,4
272329,大阪府,阪南市,4,4
273015,大阪府,島本町,3,3
273210,大阪府,豊能町,0,1
273228,大阪府,能勢町,2,2
273414,大阪府,忠岡町,0,2
273619,大阪府,熊取町,2,4
273627,大阪府,田尻町,6,6
273660,大阪府,岬町,3,3
273813,大阪府,太子町,3,3
273821,大阪府,河南町,3,3
273830,大阪府,千早赤阪村,0,0
280003,兵庫県,兵庫県,420,477
281018,兵庫県,神戸市東灘区,22,21
281026,兵庫県,神戸市灘区,23,24
281051,兵庫県,神戸市兵庫区,21,21
281069,兵庫県,神戸市長田区,10,10
281077,兵庫県,神戸市須磨区,5,5
281085,兵庫県,神戸市垂水区,8,8
281093,兵庫県,神戸市北区,6,6
281107,兵庫県,神戸市中央区,68,68
281115,兵庫県,神戸市西区,7,7
282014,兵庫県,姫路市,26,32
282022,兵庫県,尼崎市,26,42
282031,兵庫県,明石市,15,19
282049,兵庫県,西宮市,32,38
282057,兵庫県,洲本市,6,6
282065,兵庫県,芦屋市,2,6
282073,兵庫県,伊丹市,9,13
282081,兵庫県,相生市,4,4
282090,兵庫県,豊岡市,3,3
282103,兵庫県,加古川市,17,19
282120,兵庫県,赤穂市,4,7
282138,兵庫県,西脇市,5,5
282146,兵庫県,宝塚市,16,19
282154,兵庫県,三木市,4,4
282162,兵庫県,高砂市,6,9
282171,兵庫県,川西市,12,14
